Route,Direction,Stop codes
METROU,stazione Fermi (Collegno) - stazione Bengasi (Torino),"['8210' '8211' '8212' '8213' '8214' '8215' '8216' '8217' '8218' '8219'
 '8220' '8221' '8222' '8223' '8224' '8225' '8226' '8227' '8228' '8229'
 '8230' '8232' '8233']"
METROU,stazione Bengasi (Torino) - stazione Fermi (Collegno),"['8233' '8232' '8230' '8229' '8228' '8227' '8226' '8225' '8224' '8223'
 '8222' '8221' '8220' '8219' '8218' '8217' '8216' '8215' '8214' '8213'
 '8212' '8211' '8210']"
4U,via delle Querce - strada del Drosso,"['3219' '3240' '3238' '3234' '3229' '3227' '3225' '3223' '3217' '3218'
 '237' '232' '234' '239' '1216' '240' '200' '242' '244' '246' '248' '250'
 '3492' '1220' '1914' '1913' '2523' '1105' '272' '274' '2533' '276' '2537'
 '278' '280' '1372' '282' '3368' '3366' '3364' '3362' '3360' '3358' '285']"
4U,strada del Drosso - via Delle Querce,"['285' '3359' '3361' '3363' '3365' '805' '803' '1370' '2542' '2540' '2538'
 '2536' '2534' '2532' '2530' '2528' '2526' '2527' '1112' '1114' '253'
 '249' '247' '245' '243' '84' '241' '236' '238' '235' '233' '231' '1285'
 '3216' '3222' '3224' '3226' '3228' '3233' '3237' '3239' '3241' '3219']"
3U,piazzale Vallette - corso Tortona,"['165' '167' '169' '171' '173' '175' '177' '179' '181' '183' '185' '187'
 '189' '191' '193' '195' '197' '199' '201' '203' '205' '207' '211' '213'
 '217' '598']"
3U,corso Tortona - piazzale Vallette,"['598' '570' '212' '208' '206' '204' '202' '198' '196' '194' '192' '190'
 '188' '186' '184' '182' '180' '178' '176' '174' '172' '170' '168' '166'
 '165']"
6U,piazza Hermada - piazza Carlo Felice (Porta Nuova),"['3232' '1444' '2016' '2288' '2286' '2293' '2081' '2620' '600' '769' '772'
 '774' '778' '1946' '3582']"
6U,piazza Carlo Felice (Porta Nuova) - piazza Hermada,"['3582' '39' '1945' '761' '775' '773' '770' '3540' '768' '640' '3244'
 '2287' '2289' '2015' '3232']"
9U,piazza Stampalia - corso D'Azeglio,"['3426' '408' '413' '95' '3496' '3497' '181' '183' '185' '3010' '3012'
 '457' '644' '646' '3287' '557' '561' '33' '35' '39' '1945' '777' '1949'
 '609' '610' '611' '612' '2064' '3400']"
9U,corso D'Azeglio - piazza Stampalia,"['3400' '629' '630' '631' '1948' '1946' '40' '36' '34' '562' '558' '3286'
 '595' '597' '456' '3013' '3011' '186' '184' '182' '180' '3522' '3414'
 '3524' '3525' '3426']"
